wordcount,sentence_count,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_mixtur,q_stemmed_has_clear,q_stem_ordered_has_clear,q_stem_ordered_has_mixtur
0.375,0.0,0.8,0.2,0.3536,0.8,0.2,0.3536,1,0,0,1
0.25,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0
0.25,0.0,0.75,0.25,0.4082,0.75,0.25,0.4082,1,0,0,1
0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0
0.25,0.0,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,1,1
0.875,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0,0,0,0
0.125,0.0,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,1,0
0.625,0.0,0.8333333333333334,0.16666666666666666,0.3162,0.8333333333333334,0.16666666666666666,0.3162,0,1,1,0
0.25,0.0,0.75,0.25,0.4082,0.75,0.25,0.4082,0,1,1,0
0.0,0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0,1,1,0
0.5,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0
1.0,0.0,1.0,0.2222222222222222,0.4714,1.0,0.2222222222222222,0.4714,1,1,1,1
0.375,0.0,1.0,0.5,0.7071,1.0,0.5,0.7071,1,1,1,1
0.0,0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0,1,1,0
0.25,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0
0.25,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0
0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0
0.375,0.0,0.8,0.2,0.3536,0.8,0.2,0.3536,1,0,0,1
0.125,0.0,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,1,0
0.375,0.0,0.8,0.2,0.3536,0.8,0.2,0.3536,0,1,1,0
0.375,0.0,1.0,0.5,0.7071,1.0,0.5,0.7071,1,1,1,1
0.25,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0
0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0
0.25,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0
0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0
0.375,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0
0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0
0.125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1
0.25,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0
0.25,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0
0.125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1
0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0
0.375,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0
0.125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1
