student_answer,teacher_answer,label,question_id,q_stopwords,q_stemmed,q_stem_ordered
It would be a high pitch.,"When the string is longer, the pitch will be lower.",0,107,high pitch,high pitch,high pitch
It will change by the pitch will be soft.,"When the string is longer, the pitch will be lower.",0,107,change pitch soft,chang pitch soft,chang pitch soft
It would be high pitch.,"When the string is longer, the pitch will be lower.",0,107,high pitch,high pitch,high pitch
The pitch will change by getting lower.,"When the string is longer, the pitch will be lower.",1,107,pitch change getting lower,pitch chang get lower,chang get lower pitch
It would have a lower pitch.,"When the string is longer, the pitch will be lower.",1,107,lower pitch,lower pitch,lower pitch
It would have a lower pitch.,"When the string is longer, the pitch will be lower.",1,107,lower pitch,lower pitch,lower pitch
It would be lower.,"When the string is longer, the pitch will be lower.",1,107,lower,lower,lower
If she did the pitch would be lower.,"When the string is longer, the pitch will be lower.",1,107,pitch lower,pitch lower,lower pitch
Louder.,"When the string is longer, the pitch will be lower.",0,107,louder,louder,louder
The pitch gets lower.,"When the string is longer, the pitch will be lower.",1,107,pitch gets lower,pitch get lower,get lower pitch
It will shake and make sound.,"When the string is longer, the pitch will be lower.",0,107,shake sound,shake sound,shake sound
It would be lower.,"When the string is longer, the pitch will be lower.",1,107,lower,lower,lower
It would get lower.,"When the string is longer, the pitch will be lower.",1,107,lower,lower,lower
It would have a lower pitch because it has less room to vibrate.,"When the string is longer, the pitch will be lower.",0,107,lower pitch room vibrate,lower pitch room vibrat,lower pitch room vibrat
Softer.,"When the string is longer, the pitch will be lower.",0,107,softer,softer,softer
It would be wobbly so it would make a small sound.,"When the string is longer, the pitch will be lower.",0,107,wobbly small sound,wobbl small sound,small sound wobbl
It would make a higher sound.,"When the string is longer, the pitch will be lower.",0,107,higher sound,higher sound,higher sound
It would be lower pitch.,"When the string is longer, the pitch will be lower.",1,107,lower pitch,lower pitch,lower pitch
It would not be as high as when you pull it tight.,"When the string is longer, the pitch will be lower.",1,107,high pull tight,high pull tight,high pull tight
It would change to a low pitch.,"When the string is longer, the pitch will be lower.",1,107,change low pitch,chang low pitch,chang low pitch
It would be a low pitch.,"When the string is longer, the pitch will be lower.",1,107,low pitch,low pitch,low pitch
The pitch will be higher.,"When the string is longer, the pitch will be lower.",0,107,pitch higher,pitch higher,higher pitch
A low pitch.,"When the string is longer, the pitch will be lower.",1,107,low pitch,low pitch,low pitch
It would be lower.,"When the string is longer, the pitch will be lower.",1,107,lower,lower,lower
The pitch would get lower.,"When the string is longer, the pitch will be lower.",1,107,pitch lower,pitch lower,lower pitch
The pitch will be low.,"When the string is longer, the pitch will be lower.",1,107,pitch low,pitch low,low pitch
It got high.,"When the string is longer, the pitch will be lower.",0,107,got high,got high,got high
It will be low the pitch change.,"When the string is longer, the pitch will be lower.",1,107,low pitch change,low pitch chang,chang low pitch
The sound would be lower.,"When the string is longer, the pitch will be lower.",1,107,sound lower,sound lower,lower sound
It would be lower pitch.,"When the string is longer, the pitch will be lower.",1,107,lower pitch,lower pitch,lower pitch
It would be a longer sound.,"When the string is longer, the pitch will be lower.",0,107,longer sound,longer sound,longer sound
Still high.,"When the string is longer, the pitch will be lower.",0,107,high,high,high
It would sound lower.,"When the string is longer, the pitch will be lower.",1,107,sound lower,sound lower,lower sound
The pitch will go high.,"When the string is longer, the pitch will be lower.",0,107,pitch high,pitch high,high pitch
It will make a lower pitch and yes.,"When the string is longer, the pitch will be lower.",1,107,lower pitch yes,lower pitch ye,lower pitch ye
The pitch would be low.,"When the string is longer, the pitch will be lower.",1,107,pitch low,pitch low,low pitch
"When the string is longer, the pitch will be lower.","When the string is longer, the pitch will be lower.",1,107,string longer pitch lower,string longer pitch lower,longer lower pitch string
