wordcount,s_similarity,stem_c_similarity,stem_ordered_c_similarity,lem_s_similarity,lem_c_similarity,lem_ordered_s_similarity,lem_ordered_c_similarity,lem_has_water,lem_has_evaporated,lem_has_salt,lem_has_water_evaporated
0.375,0.512213397415727,0.0,0.0,0.512213397415727,0.0,0.512213397415727,0.0,0,0,0,0
0.5,1.0,0.6708,0.6708,1.0,0.4472,1.0,0.4472,1,0,1,0
0.5,0.9205210661839439,0.6708,0.6708,0.9229817072314691,0.6708,0.9229816221058075,0.6708,1,1,1,1
0.625,0.7364124047109849,0.2041,0.2041,0.7364124047109849,0.2041,0.691613699395527,0.2041,1,0,0,0
0.375,0.7198501998333098,0.25,0.25,0.7198501998333098,0.25,0.7198501998333098,0.25,1,0,0,0
0.75,0.9614705454611049,0.6124,0.6124,0.9614705454611049,0.4082,0.9614705412077555,0.4082,1,0,1,0
0.25,0.3295074181924499,0.0,0.0,0.3295074181924499,0.0,0.3295074181924499,0.0,0,0,0,0
0.375,1.0,0.75,0.75,1.0,0.75,0.9387014454100737,0.75,1,1,1,1
0.5,0.9876694670462529,0.75,0.75,0.9876694670462529,0.5,0.9876694670462529,0.5,1,0,1,0
0.625,1.000000073045649,0.5,0.5,0.9762090293042348,0.5,0.9762090321375245,0.5,1,0,1,0
0.125,1.0000000726037832,0.7071,0.7071,1.0000000726037832,0.7071,1.0,0.7071,1,0,1,0
0.25,0.900548635367306,0.5774,0.5774,0.900548635367306,0.2887,0.900548635367306,0.2887,1,0,0,0
0.375,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1,0,1,0
0.25,0.900548635367306,0.5774,0.5774,0.900548635367306,0.2887,0.900548635367306,0.2887,1,0,0,0
0.125,0.900548635367306,0.3536,0.3536,0.900548635367306,0.3536,0.900548635367306,0.3536,1,0,0,0
0.75,0.7763200944022083,0.25,0.25,0.7763200944022083,0.25,0.745767640926498,0.25,1,0,0,0
0.625,0.7891750385264577,0.4082,0.4082,0.7891750385264577,0.2041,0.7891750323985509,0.2041,1,0,0,0
0.625,0.9876694670462529,0.75,0.75,0.9876694670462529,0.75,0.9618748845893706,0.75,1,1,1,1
0.875,0.9336115929498019,0.6124,0.6124,0.9336706867512751,0.6124,0.9336707081605932,0.6124,1,1,1,1
0.625,0.8607754922222473,0.4472,0.4472,0.8607754922222473,0.4472,0.8607754956509384,0.4472,1,0,1,0
0.125,0.38443548885069123,0.0,0.0,0.38443548885069123,0.0,0.38443548885069123,0.0,0,0,0,0
0.75,0.830811061287706,0.4082,0.4082,0.830811061287706,0.2041,0.8947312420231571,0.2041,1,0,0,0
0.125,0.2518890631583158,0.0,0.0,0.2518890631583158,0.0,0.2518890631583158,0.0,0,0,0,0
0.625,0.9880248059055816,0.6708,0.6708,0.9880248059055816,0.6708,0.9880248140498309,0.6708,1,1,1,1
0.375,0.8288663755618095,0.5774,0.5774,0.8288663755618095,0.5,0.8173339167159859,0.5,1,1,0,1
0.125,0.4523373684754839,0.3536,0.3536,0.4523373684754839,0.0,0.4523373684754839,0.0,0,0,0,0
0.25,1.0,0.5774,0.5774,1.0,0.5774,1.0,0.5774,1,0,1,0
0.25,0.7892740025480955,0.2887,0.2887,0.7892740025480955,0.2887,0.7892740025480955,0.2887,1,0,0,0
0.25,0.900548635367306,0.5774,0.5774,0.900548635367306,0.2887,0.900548635367306,0.2887,1,0,0,0
0.625,0.9080066450912389,0.4082,0.4082,0.872980191525978,0.4082,0.8729802125740419,0.4082,1,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.75,1.000000073045649,0.4472,0.4472,1.000000073045649,0.4472,1.0000000763754895,0.4472,1,0,1,0
1.0,0.9413984042731455,0.5303,0.5303,0.9413984042731455,0.5303,0.9261491320763813,0.5303,1,1,1,1
0.75,0.961179064965244,0.6124,0.6124,0.961179064965244,0.4082,0.9434886262232527,0.4082,1,0,1,0
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,0
0.125,0.781001477903572,0.3536,0.3536,0.7951378642690292,0.3536,0.7951378642690292,0.3536,0,0,1,0
0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1
