student_answer,label
Greta and Andre have different sized hands.,1
It was not a standard unit of measurement.,0
They got different measurements because their hands are different sizes.,1
Because the white boards were different sizes.,0
They got different measurements because their hands could be different sizes.,1
Because she might open her hands why does not she use a ruler.,0
Because hands can be different sizes.,1
Maybe Andre's hand is bigger than Greta's hand.,
Greta could have had a bigger hand.,
They both have different hand length.,
Greta and Andre got different measurements because Andre's hand was much smaller than Greta's hand.,
Greta had a smaller hand than him.,
Maybe because one of their hands are bigger one of their hands are smaller.,
Maybe she had bigger hands.,
Because their hands were different sizes.,
Because the hands are not the same size.,
Greta used his hands. Andre used the white board. They should use the same thing.,
Their hands could be different length.,
Their hands are different sizes.,
Maybe their hands were too big and too little.,
They have bigger or smaller sized hands.,
It was because they have different hand sizes.,
Because one of their hands are different sizes.,
Because their hands were not the same size.,
Because they have different hands and not the same.,
Because one of their arms is bigger.,
Because they used their hands and if they use their hands they can have use the hand then your hands can get tired.,
Andre's hand were smaller.,
Their hand are bigger than each others.,
They got different measurements because Andre has bigger hands than Greta.,
Maybe Greta has a bigger hand and Andre smaller hand.,
Because maybe the hand of Greta is too small. And Andre's hand is bigger.,
Greta is taller and Andre is shorter.,
Their hand are not the same. Maybe Greta hands are big than Andre's.,
It is because Greta has bigger hands and Andre has little hands.,
Greta might have bigger hands.,
Hands are not standard units.,
